repo_name
Marvin-AI
PageSpeed
Pony Mail
SDAP
Taverna
Warble
Amber
Apex
Apollo
Bean Validation
Beehive
CommonsRDF
DeviceMap
Directory
EasyAnt
Flex
Guacamole
Hermes
httpd-CLI
iBATIS
Ivy
JaxMe
JDO
log4cxx
log4cxx2
log4net
Log4php
MerlinDeveloper
mod_ftp
Muse
Mynewt
OGNL
Olingo
Open Climate Workbench
OpenOffice.org
Parquet
RAT
River
ServiceComb
Tapestry
Tobago
Traffic Control
Traffic Server
Trinidad
Tuscany
UIMA
WebWork 2
Woden
Agila
Alois
AltRMI
AriaTosca
AWF
Axion
Bluesky
Blur
Climate Model Diagnostic Analyzer
Composer
Concerted
Corinthia
Cotton
Depot
Droids
Gearpump
Gossip
Graffito
Hadoop Development Tools (HDT)
Heraldry
HISE
HORN
HTrace
Imperius
iota
JuiCE
Kabuki
Kato
Kitty
Lokahi
Lucene4c
MRQL
NMaven
ODF Toolkit
Olio
OpenAz
Pirk
Provisionr
Quickstep
RCF
Ripple
S4
Slider
SocialSite
Stonehenge
TripleSoup
TSIK
WADI
Wave
WSRP4J
XAP
XMLBeans/C++
Yoko
Zeta Components
