repo_id,repo_owner,repo_name,created_at,project_size,num_forks,default_branch,last_update,repo_url,teammate
41952293,apache,hawq,2015-09-05T07:00:05Z,182419,327,master,2025-01-11T16:03:48Z,https://github.com/apache/hawq,sophie
205414,apache,felix,2009-05-20T02:00:07Z,96620,320,trunk,2024-11-15T21:45:24Z,https://github.com/apache/felix,sophie
6935442,apache,causeway,2012-11-30T08:00:24Z,388873,306,main,2025-01-28T08:23:59Z,https://github.com/apache/causeway,sophie
2282376,apache,giraph,2011-08-28T07:00:33Z,26962,302,trunk,2024-12-16T09:51:00Z,https://github.com/apache/giraph,sophie
41902290,apache,freemarker,2015-09-04T07:00:05Z,24454,270,2.3-gae,2025-02-06T07:51:55Z,https://github.com/apache/freemarker,sophie
32137005,apache,openmeetings,2015-03-13T07:00:05Z,84450,264,master,2025-02-01T07:11:28Z,https://github.com/apache/openmeetings,sophie
160994,apache,sling-old-svn-mirror,2009-03-27T15:41:54Z,86054,258,archived,2024-07-31T18:00:37Z,https://github.com/apache/sling-old-svn-mirror,sophie
17310686,apache,knox,2014-03-01T08:00:06Z,24079,250,master,2025-01-23T15:53:15Z,https://github.com/apache/knox,sophie
14135467,apache,aurora,2013-11-05T08:00:13Z,30334,231,master,2024-11-15T18:51:59Z,https://github.com/apache/aurora,sophie
15861701,apache,helix,2014-01-13T08:00:06Z,42232,228,master,2025-02-06T19:24:26Z,https://github.com/apache/helix,sophie
69328650,apache,incubator-spot,2016-09-27T07:00:07Z,30476,226,master,2025-01-27T08:40:37Z,https://github.com/apache/incubator-spot,sophie
49190360,apache,incubator-toree,2016-01-07T08:00:06Z,11430,224,master,2025-01-22T03:36:59Z,https://github.com/apache/incubator-toree,sophie
206403,apache,jackrabbit,2009-05-21T01:43:24Z,62047,219,trunk,2025-01-23T17:52:28Z,https://github.com/apache/jackrabbit,sophie
25623942,apache,syncope,2014-10-23T07:00:10Z,76876,184,master,2025-02-05T18:16:17Z,https://github.com/apache/syncope,sophie
46404009,apache,eagle,2015-11-18T08:00:06Z,35666,179,master,2025-01-03T21:44:55Z,https://github.com/apache/eagle,sophie
454263,apache,subversion,2009-12-31T09:00:10Z,215514,177,trunk,2025-02-07T02:46:17Z,https://github.com/apache/subversion,sophie
322018,apache,aries,2009-09-30T08:00:10Z,67745,157,trunk,2025-02-06T18:54:03Z,https://github.com/apache/aries,sophie
18203743,apache,servicemix,2014-03-28T07:00:07Z,4553,153,master,2025-01-06T02:31:07Z,https://github.com/apache/servicemix,sophie
36349344,apache,trafodion,2015-05-27T07:00:05Z,88977,152,master,2025-01-26T21:21:49Z,https://github.com/apache/trafodion,sophie
11943595,apache,metamodel,2013-08-07T07:00:14Z,7220,148,master,2024-10-15T03:12:42Z,https://github.com/apache/metamodel,sophie
42763345,apache,madlib,2015-09-19T07:00:06Z,21155,146,master,2025-01-09T03:35:18Z,https://github.com/apache/madlib,sophie
31976266,apache,asterixdb,2015-03-10T19:06:29Z,192425,140,master,2025-02-07T04:25:40Z,https://github.com/apache/asterixdb,sophie
1918497,apache,derby,2011-06-19T07:00:34Z,84420,140,trunk,2025-02-06T09:10:20Z,https://github.com/apache/derby,sophie
15698466,apache,jclouds,2014-01-07T08:00:06Z,81925,139,master,2025-01-22T04:54:28Z,https://github.com/apache/jclouds,sophie
10472781,apache,deltaspike,2013-06-04T07:00:12Z,10605,136,master,2025-01-25T07:03:31Z,https://github.com/apache/deltaspike,sophie
53566183,apache,incubator-retired-edgent,2016-03-10T08:00:06Z,25183,135,develop,2025-01-03T21:45:08Z,https://github.com/apache/incubator-retired-edgent,sophie
