repo_id,repo_owner,repo_name,created_at,project_size,num_forks,num_stars,default_branch,last_update,is_archived,repo_url,teammate
32137005,apache,openmeetings,2015-03-13T07:00:05Z,84450,264,646,master,2025-02-10T10:41:47Z,FALSE,https://github.com/apache/openmeetings,joseph
633686625,apache,fury,2023-04-28T03:57:00Z,11073,262,3201,main,2025-02-14T02:41:15Z,FALSE,https://github.com/apache/fury,helen2
9395761,apache,incubator-stormcrawler,2013-04-12T14:13:30Z,7531,262,901,main,2025-02-11T18:26:18Z,FALSE,https://github.com/apache/incubator-stormcrawler,helen2
160994,apache,sling-old-svn-mirror,2009-03-27T15:41:54Z,86054,258,218,archived,2024-07-31T18:00:37Z,FALSE,https://github.com/apache/sling-old-svn-mirror,junlong
17310686,apache,knox,2014-03-01T08:00:06Z,24218,251,193,master,2025-01-23T15:53:15Z,FALSE,https://github.com/apache/knox,simmon
14135467,apache,aurora,2013-11-05T08:00:13Z,30334,231,634,master,2024-11-15T18:51:59Z,TRUE,https://github.com/apache/aurora,sophie
15861701,apache,helix,2014-01-13T08:00:06Z,42232,228,475,master,2025-02-06T19:24:26Z,FALSE,https://github.com/apache/helix,helen
69328650,apache,incubator-spot,2016-09-27T07:00:07Z,30476,226,349,master,2025-01-27T08:40:37Z,TRUE,https://github.com/apache/incubator-spot,joseph
49190360,apache,incubator-toree,2016-01-07T08:00:06Z,11430,224,742,master,2025-01-22T03:36:59Z,FALSE,https://github.com/apache/incubator-toree,junlong
206403,apache,jackrabbit,2009-05-21T01:43:24Z,62048,219,343,trunk,2025-02-13T06:58:56Z,FALSE,https://github.com/apache/jackrabbit,simmon
223462217,apache,incubator-resilientdb,2019-11-22T18:28:12Z,298196,213,142,master,2025-01-17T18:20:26Z,FALSE,https://github.com/apache/incubator-resilientdb,helen2
496505424,apache,horaedb,2022-05-26T06:22:14Z,11201,209,2697,main,2025-02-13T08:40:35Z,FALSE,https://github.com/apache/horaedb,helen2
130603282,apache,streampipes,2018-04-22T20:06:55Z,325246,190,625,dev,2025-02-13T09:22:00Z,FALSE,https://github.com/apache/streampipes,helen2
25623942,apache,syncope,2014-10-23T07:00:10Z,77769,184,278,master,2025-02-13T07:46:01Z,FALSE,https://github.com/apache/syncope,sophie
46404009,apache,eagle,2015-11-18T08:00:06Z,35666,179,409,master,2025-01-03T21:44:55Z,TRUE,https://github.com/apache/eagle,helen
807776416,apache,polaris,2024-05-29T18:44:27Z,9552,179,1331,main,2025-02-14T04:55:30Z,FALSE,https://github.com/apache/polaris,helen2
454263,apache,subversion,2009-12-31T09:00:10Z,215516,177,585,trunk,2025-02-12T15:33:26Z,FALSE,https://github.com/apache/subversion,joseph
195861277,apache,incubator-teaclave,2019-07-08T17:55:43Z,136824,159,771,master,2025-02-13T08:27:52Z,FALSE,https://github.com/apache/incubator-teaclave,helen2
669267591,apache,incubator-xtable,2023-07-21T19:07:10Z,12925,158,977,main,2025-02-13T11:14:48Z,FALSE,https://github.com/apache/incubator-xtable,helen2
322018,apache,aries,2009-09-30T08:00:10Z,67946,157,113,trunk,2025-02-13T18:21:06Z,FALSE,https://github.com/apache/aries,junlong
559857046,apache,pekko,2022-10-31T08:40:39Z,263146,157,1299,main,2025-02-14T03:21:29Z,FALSE,https://github.com/apache/pekko,helen2
18203743,apache,servicemix,2014-03-28T07:00:07Z,4553,153,161,master,2025-01-06T02:31:07Z,FALSE,https://github.com/apache/servicemix,simmon
504360264,apache,incubator-uniffle,2022-06-17T01:47:53Z,13128,153,399,master,2025-02-13T06:22:48Z,FALSE,https://github.com/apache/incubator-uniffle,helen2
36349344,apache,trafodion,2015-05-27T07:00:05Z,88977,151,246,master,2025-01-26T21:21:49Z,TRUE,https://github.com/apache/trafodion,sophie
11943595,apache,metamodel,2013-08-07T07:00:14Z,7220,148,156,master,2024-10-15T03:12:42Z,TRUE,https://github.com/apache/metamodel,helen
42763345,apache,madlib,2015-09-19T07:00:06Z,21155,146,465,master,2025-01-09T03:35:18Z,FALSE,https://github.com/apache/madlib,joseph
31976266,apache,asterixdb,2015-03-10T19:06:29Z,193805,142,287,master,2025-02-14T02:09:33Z,FALSE,https://github.com/apache/asterixdb,junlong
1918497,apache,derby,2011-06-19T07:00:34Z,84420,140,353,trunk,2025-02-06T09:10:20Z,FALSE,https://github.com/apache/derby,simmon
15698466,apache,jclouds,2014-01-07T08:00:06Z,81955,140,204,master,2025-02-13T05:26:32Z,FALSE,https://github.com/apache/jclouds,sophie
10472781,apache,deltaspike,2013-06-04T07:00:12Z,10605,136,151,master,2025-01-25T07:03:31Z,FALSE,https://github.com/apache/deltaspike,helen
53566183,apache,incubator-retired-edgent,2016-03-10T08:00:06Z,25183,135,217,develop,2025-01-03T21:45:08Z,TRUE,https://github.com/apache/incubator-retired-edgent,joseph
